#UniProt1	UniProt2	PubMedIDs	InteractionType	Directedness
Q05652	Q08012	22110040	Post-translational_modification	PPI_directed
G3JX27	P04412	22110040	Post-translational_modification	PPI_directed
E1JI13	Q01083	22110040	Post-translational_modification	PPI_directed
P07207	O44783	15710747;21036869;21071413	interaction_from_external_databases	PPI_undirected
D0IQ97	Q01083	22110040	Post-translational_modification	PPI_directed
Q6NP56	P04412	22110040	Post-translational_modification	PPI_directed
C6SUX7	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9W002	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q8T473	Q08012	22110040	Post-translational_modification	PPI_directed
P18431	P04412	22110040	Post-translational_modification	PPI_directed
F3YDG4	P04412	22110040	Post-translational_modification	PPI_directed
P32866	Q01083	22110040	Post-translational_modification	PPI_directed
Q5U119	P29503	22110040	Post-translational_modification	PPI_directed
Q4QPP7	Q00805	22110040	Post-translational_modification	PPI_directed
D1YSG7	Q9VM64	22110040	Post-translational_modification	PPI_directed
A8WHH0	Q01083	22110040	Post-translational_modification	PPI_directed
Q8T8Y2	Q00805	22110040	Post-translational_modification	PPI_directed
P25008	P04412	22110040	Post-translational_modification	PPI_directed
Q9U010	O96660	21036869	interaction_from_external_databases	PPI_undirected
