#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0024326	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0003326	FBgn0011648	8681796;21071413	interaction_from_external_databases	PPI_undirected
FBgn0015765	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0260945	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0010333	FBgn0001291	10985385;9224721;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0039015	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0032187	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003295	FBgn0052179	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0031896	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0026181	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0053554	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0011817	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0001079	FBgn0003444	14597665;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0262733	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0000047	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0250789	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0010382	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0263289	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0024248	FBgn0038197	12908874;21036869	interaction_from_external_databases	PPI_undirected
FBgn0003317	FBgn0005590	9827802;9827801;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0013762	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0031431	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0024314	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004644	FBgn0004009	12091309;11546742;21071413;8660881;9630745	interaction_from_external_databases	PPI_undirected
FBgn0003612	FBgn0016917	11504941;23331499;21036869;12479803;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0036372	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0003731	FBgn0004638	23331499;12128212;21036869	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0263255,FBgn0263395	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0004638	FBgn0003733	12750336;8384582;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004106	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0259712	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0024811	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0010909	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0015024	FBgn0004859	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0260442	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0026402	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0015625	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0036790	FBgn0005672	23331499;10652272	Interaction_between_pathway_members	PPI_directed
FBgn0026369	FBgn0000711	23331499;21036869;12134149	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0026181	FBgn0003557	22110040	Post-translational_modification	PPI_directed
